is_lake,lake_model,is_targ_vol,purpose,basin_area,length,slope,lon,lat,hruid,seg_id,seg_hr_id,tosegment,width,manning,H06_irrigation,H06_Smax,H06_alpha,H06_envfact,H06_S_ini,H06_C1,H06_C2,H06_power,H06_dinominator,H06_c_compare,H06_dead_S_Per,H06_E_rel_ini,H06_I_Mem_F,H06_I_Mem_L,H06_D_Mem_F,H06_D_Mem_L,H06_I_Jan,H06_I_Feb,H06_I_Mar,H06_I_Apr,H06_I_May,H06_I_Jun,H06_I_Jul,H06_I_Aug,H06_I_Sep,H06_I_Oct,H06_I_Nov,H06_I_Dec,H06_D_Jan,H06_D_Feb,H06_D_Mar,H06_D_Apr,H06_D_May,H06_D_Jun,H06_D_Jul,H06_D_Aug,H06_D_Sep,H06_D_Oct,H06_D_Nov,H06_D_Dec
int,int,int,int,f8,f8,f8,f8,f8,int,int,int,int,f8,f8,int,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,int,int,int,int,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8,f8
-,-,-,-,m**2,m,-,-,-,-,-,-,-,m,-,-,m**3,-,-,m**3,-,-,-,-,-,-,-,-,-,-,-,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1,m**3 s**-1
-1,-1,-1,-1,-9999,-9999,-9999,-9999,-9999,-1,-1,-1,-1,-9999,-9999,-1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1,-1,-1,-1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
